Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Year,Month,Day,Hour,Latitude_x,Longitude_x,Latitude_y,Longitude_y,Latitude,Longitude
4,2020-01-01 05:00:00,2020-01-01 03:00:00,01-01-2020 14:46,Pune,170,BURGLARY,49,F,Firearm,Other Crime,1,Yes,2020-04-29 05:00:00,2020,1,1,14.0,18.5213738,73.8545071,18.5213738,73.8545071,18.5213738,73.8545071
5,2020-01-01 21:00:00,2020-01-01 04:00:00,01-01-2020 16:51,Pune,421,VANDALISM,30,F,Other,Other Crime,18,Yes,2020-01-08 21:00:00,2020,1,1,16.0,18.5213738,73.8545071,18.5213738,73.8545071,18.5213738,73.8545071
6,2020-02-01 03:00:00,2020-01-01 05:00:00,01-01-2020 17:09,Delhi,442,ASSAULT,16,M,Firearm,Violent Crime,18,Yes,2020-03-30 03:00:00,2020,1,1,17.0,28.6328027,77.2197713,28.6328027,77.2197713,28.6328027,77.2197713
7,2020-01-01 16:00:00,2020-01-01 06:00:00,01-01-2020 14:08,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,13,Yes,2020-03-24 16:00:00,2020,1,1,14.0,13.0836939,80.270186,13.0836939,80.270186,13.0836939,80.270186
11,2020-02-01 13:00:00,2020-01-01 10:00:00,01-01-2020 19:42,Delhi,260,FRAUD,71,M,Explosives,Other Crime,5,Yes,2020-02-01 13:00:00,2020,1,1,19.0,28.6328027,77.2197713,28.6328027,77.2197713,28.6328027,77.2197713
13,2020-01-01 16:00:00,2020-01-01 12:00:00,01-01-2020 23:14,Visakhapatnam,498,FRAUD,36,F,Poison,Other Crime,3,Yes,2020-02-29 16:00:00,2020,1,1,23.0,17.6935526,83.2921297,17.6935526,83.2921297,17.6935526,83.2921297
16,2020-02-01 07:00:00,2020-01-01 15:00:00,01-01-2020 18:54,Kolkata,357,COUNTERFEITING,51,F,Explosives,Other Crime,16,Yes,2020-03-30 07:00:00,2020,1,1,18.0,22.5726459,88.3638953,22.5726459,88.3638953,22.5726459,88.3638953
19,2020-02-01 20:00:00,2020-01-01 18:00:00,02-01-2020 10:42,Bangalore,480,CYBERCRIME,11,M,Unknown,Other Crime,3,Yes,2020-01-24 20:00:00,2020,1,1,10.0,12.9767936,77.590082,12.9767936,77.590082,12.9767936,77.590082
20,2020-03-01 18:00:00,2020-01-01 19:00:00,02-01-2020 18:02,Bangalore,369,EXTORTION,62,F,Blunt Object,Other Crime,2,Yes,2020-03-05 18:00:00,2020,1,1,18.0,12.9767936,77.590082,12.9767936,77.590082,12.9767936,77.590082
21,2020-03-01 22:00:00,2020-01-01 20:00:00,02-01-2020 02:33,Hyderabad,251,TRAFFIC VIOLATION,50,F,Poison,Traffic Fatality,14,Yes,2020-01-22 22:00:00,2020,1,1,2.0,17.360589,78.4740613,17.360589,78.4740613,17.360589,78.4740613
